,uid,speed,me_to_junc,me_to_inf,x1_vs_me,inf_rel_speed,x1_rel_speed,acc_label
32,"(0, 2, '10')",0.1,2.5956100159513045,0.8089837354863388,1.6939159672191464,0.0,0.024999999999999994,0
33,"(0, 3, '0')",0.1,1.6866262804649657,1.295386542476251,0.8515988983994742,0.0,0.033333333333333326,0
34,"(0, 3, '1')",0.1,0.4888445875406628,1.9146454073202737,-2.3361648564213597,0.0,0.0,0
35,"(0, 3, '2')",0.07500000000000001,0.621982307285111,4.434247877796139,-3.0396654832690446,-0.024999999999999994,-0.024999999999999994,1
36,"(0, 3, '3')",0.1,2.1666291953508363,8.42050367408477,-1.971307947896575,0.0,0.024999999999999994,0
37,"(0, 3, '4')",0.1,2.1089514800735385,1.5442139336618792,-4.34051315823099,0.0,0.0,0
38,"(0, 3, '5')",0.1,0.5647375464116593,3.0526811272935186,-5.884727091892869,0.0,0.0,0
39,"(0, 3, '6')",0.06666666666666668,0.8350273820654914,2.570210250546368,0.44378764407677673,-0.008333333333333331,-0.033333333333333326,-1
40,"(0, 3, '7')",0.1,3.1538111122308283,1.629142287004265,2.7625713742421136,0.024999999999999994,0.0,0
41,"(0, 3, '8')",0.07500000000000001,1.5246688252265632,0.6896414431610718,1.1334290872378485,0.008333333333333331,-0.024999999999999994,-1
42,"(0, 3, '9')",0.1,0.3912397379887147,3.676999110542784,-0.44378764407677673,0.0,0.033333333333333326,0
43,"(0, 3, '10')",0.1,2.4956100159513044,0.808983735486339,1.660582633885813,0.0,0.033333333333333326,0
44,"(0, 4, '0')",0.1,1.5866262804649656,1.295386542476251,0.8099322317328075,0.0,0.04166666666666666,0
45,"(0, 4, '1')",0.1,0.3888445875406627,1.9146454073202737,-2.3361648564213597,0.0,0.0,0
46,"(0, 4, '2')",0.08333333333333334,0.5386489739517776,4.4509145444628055,-3.022998816602378,-0.016666666666666663,-0.016666666666666663,1
47,"(0, 4, '3')",0.1,2.0666291953508367,8.420503674084772,-1.9879746145632406,0.0,0.016666666666666663,0
48,"(0, 4, '4')",0.1,2.0089514800735384,1.5442139336618794,-4.340513158230991,0.0,0.0,0
49,"(0, 4, '5')",0.1,0.46473754641165926,3.0526811272935186,-5.884727091892869,0.0,0.0,0
50,"(0, 4, '6')",0.05833333333333335,0.7766940487321581,2.5952102505463683,0.4854543107434435,-0.024999999999999994,-0.04166666666666666,-1
51,"(0, 4, '7')",0.1,3.0538111122308282,1.595808953670932,2.7625713742421136,0.033333333333333326,0.0,0
52,"(0, 4, '8')",0.06666666666666668,1.4580021585598966,0.6813081098277385,1.166762420571182,0.008333333333333331,-0.033333333333333326,-1
